bps_kode_provinsi;bps_nama_provinsi;tahun;periode_bulan;jumlah_penduduk_miskin;satuan
11;Aceh;2022;Maret;806.82;Ribu Jiwa
12;Sumatera Utara;2022;Maret;1268.19;Ribu Jiwa
13;Sumatera Barat;2022;Maret;335.21;Ribu Jiwa
14;Riau;2022;Maret;485.03;Ribu Jiwa
15;Jambi;2022;Maret;279.37;Ribu Jiwa
16;Sumatera Selatan;2022;Maret;1044.69;Ribu Jiwa
17;Bengkulu;2022;Maret;297.23;Ribu Jiwa
18;Lampung;2022;Maret;1002.41;Ribu Jiwa
19;Kepulauan Bangka Belitung;2022;Maret;66.78;Ribu Jiwa
21;Kepulauan Riau;2022;Maret;151.68;Ribu Jiwa
31;DKI Jakarta;2022;Maret;502.04;Ribu Jiwa
32;Jawa Barat;2022;Maret;4070.98;Ribu Jiwa
33;Jawa Tengah;2022;Maret;3831.44;Ribu Jiwa
34;DI Yogyakarta;2022;Maret;454.76;Ribu Jiwa
35;Jawa Timur;2022;Maret;4181.29;Ribu Jiwa
36;Banten;2022;Maret;814.02;Ribu Jiwa
51;Bali;2022;Maret;205.68;Ribu Jiwa
52;Nusa Tenggara Barat;2022;Maret;731.94;Ribu Jiwa
53;Nusa Tenggara Timur;2022;Maret;1131.62;Ribu Jiwa
61;Kalimantan Barat;2022;Maret;350.25;Ribu Jiwa
62;Kalimantan Tengah;2022;Maret;145.1;Ribu Jiwa
63;Kalimantan Selatan;2022;Maret;195.7;Ribu Jiwa
64;Kalimantan Timur;2022;Maret;236.25;Ribu Jiwa
65;Kalimantan Utara;2022;Maret;49.46;Ribu Jiwa
71;Sulawesi Utara;2022;Maret;185.14;Ribu Jiwa
72;Sulawesi Tengah;2022;Maret;388.35;Ribu Jiwa
73;Sulawesi Selatan;2022;Maret;777.44;Ribu Jiwa
74;Sulawesi Tenggara;2022;Maret;309.79;Ribu Jiwa
75;Gorontalo;2022;Maret;185.44;Ribu Jiwa
76;Sulawesi Barat;2022;Maret;165.72;Ribu Jiwa
81;Maluku;2022;Maret;290.57;Ribu Jiwa
